POST | 500 | /api/auth/store | 1185.584 ms | ::1 | - | 16:17:45
POST | 500 | /api/auth/store | 1138.644 ms | ::1 | - | 16:19:26
POST | 200 | /api/auth/store | 1000.510 ms | ::1 | - | 16:21:10
GET | 500 | /api/store/info | 742.590 ms | ::1 | - | 16:21:11
POST | 200 | /api/auth/store | 1385.539 ms | ::1 | - | 16:22:53
GET | 500 | /api/store/info | 750.014 ms | ::1 | - | 16:22:54
POST | 200 | /api/auth/store | 1161.348 ms | ::1 | - | 16:23:47
GET | 500 | /api/store/info | 751.917 ms | ::1 | - | 16:23:48
POST | 403 | /api/auth/store | 1221.406 ms | ::1 | - | 16:25:30
POST | 200 | /api/auth/store | 900.826 ms | ::1 | - | 16:27:22
GET | 200 | /api/store/info | 740.486 ms | ::1 | - | 16:27:23
POST | 200 | /api/auth/store | 944.536 ms | ::1 | - | 16:27:37
GET | 304 | /api/store/info | 746.042 ms | ::1 | - | 16:27:38
GET | 304 | /static/css/main.5da68ca8.css | 11.857 ms | ::1 | - | 18:15:59
GET | 304 | /manifest.json | 10.623 ms | ::1 | - | 18:15:59
GET | 200 | /favicon.ico | 34.057 ms | ::1 | - | 18:16:04
GET | 200 | /logo192.png | 12.506 ms | ::1 | - | 18:16:04
GET | 200 | /logo512.png | 10.349 ms | ::1 | - | 18:16:04
GET | 200 | /favicon.ico | 2.177 ms | ::1 | - | 18:16:13
GET | 200 | /logo192.png | 1.028 ms | ::1 | - | 18:16:13
GET | 200 | /logo512.png | 1.100 ms | ::1 | - | 18:16:13
GET | 200 | /favicon.ico | 1.911 ms | ::1 | - | 18:16:28
GET | 200 | /logo192.png | 1.063 ms | ::1 | - | 18:16:28
GET | 200 | /logo512.png | 1.138 ms | ::1 | - | 18:16:28
GET | 200 | /favicon.ico | 1.159 ms | ::1 | - | 18:16:29
GET | 200 | /logo192.png | 1.166 ms | ::1 | - | 18:16:29
GET | 200 | /logo512.png | 1.192 ms | ::1 | - | 18:16:29
GET | 200 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 3.415 ms | ::1 | - | 18:16:54
GET | 200 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 24.674 ms | ::1 | - | 18:16:55
