GET | 200 | / | 7.157 ms | ::1 | - | 0:30:32
GET | 200 | /static/css/main.5da68ca8.css | 6.586 ms | ::1 | - | 0:30:32
GET | 200 | /static/js/main.6dd90489.js | 8.736 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 12.036 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 8.317 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 5.415 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 4.989 ms | ::1 | - | 0:30:32
GET | 200 | /manifest.json | 1.500 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 4.319 ms | ::1 | - | 0:30:32
GET | 200 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 8.353 ms | ::1 | - | 0:30:32
GET | 200 | /logo192.png | 1.509 ms | ::1 | - | 0:30:32
GET | 200 | /api/store/info | 1061.962 ms | ::1 | - | 0:30:33
GET | 304 | /api/store/info | 718.734 ms | ::1 | - | 0:30:34
GET | 301 | /admin/Tienda1 | 3.826 ms | ::1 | - | 0:30:57
GET | 200 | /admin/Tienda1/ | 1.790 ms | ::1 | - | 0:30:57
GET | 304 | /static/js/main.6dd90489.js | 2.320 ms | ::1 | - | 0:30:57
GET | 304 | /static/css/main.5da68ca8.css | 1.246 ms | ::1 | - | 0:30:57
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 1.111 ms | ::1 | - | 0:30:57
GET | 304 | /manifest.json | 0.660 ms | ::1 | - | 0:30:57
GET | 200 | /favicon.ico | 5.790 ms | ::1 | - | 0:30:57
GET | 304 | /logo192.png | 0.669 ms | ::1 | - | 0:30:57
GET | 304 | /api/store/info | 932.522 ms | ::1 | - | 0:30:58
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 0.911 ms | ::1 | - | 0:30:58
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 0.712 ms | ::1 | - | 0:30:58
GET | 304 | /api/store/info | 715.166 ms | ::1 | - | 0:30:59
OPTIONS | 204 | /api/store/info | 0.385 ms | ::1 | - | 0:32:28
OPTIONS | 204 | /api/store/info | 0.182 ms | ::1 | - | 0:32:28
GET | 304 | /api/store/info | 1042.533 ms | ::1 | - | 0:32:29
GET | 304 | /api/store/info | 721.678 ms | ::1 | - | 0:32:30
GET | 304 | /api/store/info | 714.940 ms | ::1 | - | 0:32:31
OPTIONS | 204 | /api/store/info | 1.585 ms | ::1 | - | 0:34:47
GET | 304 | /api/store/info | 930.904 ms | ::1 | - | 0:34:48
OPTIONS | 204 | /api/store/info | 0.258 ms | ::1 | - | 0:45:54
GET | 304 | /api/store/info | 1011.138 ms | ::1 | - | 0:45:55
GET | 304 | /api/store/info | 727.059 ms | ::1 | - | 0:45:56
OPTIONS | 204 | /api/store/info | 0.217 ms | ::1 | - | 0:47:53
GET | 304 | /api/store/info | 1013.014 ms | ::1 | - | 0:47:54
GET | 304 | /api/store/info | 732.602 ms | ::1 | - | 0:47:56
GET | 304 | /api/store/info | 730.586 ms | ::1 | - | 0:47:57
GET | 200 | / | 7.266 ms | ::1 | - | 0:49:18
GET | 200 | /static/css/main.5da68ca8.css | 4.155 ms | ::1 | - | 0:49:18
GET | 200 | /static/js/main.a9b11853.js | 9.078 ms | ::1 | - | 0:49:18
GET | 200 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 9.818 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 8.761 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 4.368 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 5.437 ms | ::1 | - | 0:49:19
GET | 304 | /manifest.json | 1.431 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 7.539 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 7.629 ms | ::1 | - | 0:49:19
GET | 200 | /static/media/boxLogo.fea54e18e3aa37859814.png | 7.433 ms | ::1 | - | 0:49:19
GET | 304 | /logo192.png | 0.762 ms | ::1 | - | 0:49:19
GET | 304 | /api/store/info | 1057.324 ms | ::1 | - | 0:49:20
GET | 304 | /api/store/info | 733.928 ms | ::1 | - | 0:49:20
POST | 500 | /api/auth/admin | 1652.029 ms | ::1 | - | 14:45:16
POST | 500 | /api/auth/admin | 1155.429 ms | ::1 | - | 14:46:13
POST | 500 | /api/auth/admin | 1123.201 ms | ::1 | - | 14:46:32
POST | 500 | /api/auth/admin | 962.978 ms | ::1 | - | 14:48:19
POST | 200 | /api/auth/admin | 5948.680 ms | ::1 | - | 14:50:02
POST | 200 | /api/auth/admin | 1154.271 ms | ::1 | - | 14:51:39
POST | 403 | /api/auth/admin | 6888.371 ms | ::1 | - | 14:52:07
POST | 200 | /api/auth/admin | 881.779 ms | ::1 | - | 14:52:16
POST | 200 | /api/auth/admin | 938.541 ms | ::1 | - | 14:53:25
OPTIONS | 204 | /api/auth/admin | 1.128 ms | ::1 | - | 15:10:56
POST | 403 | /api/auth/admin | 1071.221 ms | ::1 | - | 15:10:57
OPTIONS | 204 | /api/auth/admin | 0.495 ms | ::1 | - | 15:12:13
POST | 403 | /api/auth/admin | 950.303 ms | ::1 | - | 15:12:14
OPTIONS | 204 | /api/auth/admin | 0.496 ms | ::1 | - | 15:12:25
POST | 403 | /api/auth/admin | 877.180 ms | ::1 | - | 15:12:26
POST | 403 | /api/auth/admin | 738.672 ms | ::1 | - | 15:12:28
OPTIONS | 204 | /api/auth/admin | 0.535 ms | ::1 | - | 15:13:23
POST | 403 | /api/auth/admin | 964.160 ms | ::1 | - | 15:13:24
OPTIONS | 204 | /api/auth/admin | 0.546 ms | ::1 | - | 15:14:04
POST | 200 | /api/auth/admin | 881.216 ms | ::1 | - | 15:14:05
OPTIONS | 204 | /api/auth/admin | 0.238 ms | ::1 | - | 15:15:23
POST | 200 | /api/auth/admin | 891.560 ms | ::1 | - | 15:15:24
POST | 200 | /api/auth/admin | 719.869 ms | ::1 | - | 15:15:28
OPTIONS | 204 | /api/auth/admin | 0.494 ms | ::1 | - | 15:15:53
POST | 200 | /api/auth/admin | 876.658 ms | ::1 | - | 15:15:54
POST | 200 | /api/auth/admin | 884.007 ms | ::1 | - | 15:15:56
OPTIONS | 204 | /api/auth/admin | 0.590 ms | ::1 | - | 15:16:08
POST | 200 | /api/auth/admin | 871.403 ms | ::1 | - | 15:16:08
OPTIONS | 204 | /api/auth/admin | 0.528 ms | ::1 | - | 15:16:22
POST | 200 | /api/auth/admin | 879.347 ms | ::1 | - | 15:16:23
OPTIONS | 204 | /api/auth/admin | 2.744 ms | ::1 | - | 15:17:29
POST | 200 | /api/auth/admin | 1414.714 ms | ::1 | - | 15:17:31
OPTIONS | 204 | /api/auth/admin | 1.306 ms | ::1 | - | 15:18:28
POST | 200 | /api/auth/admin | 973.525 ms | ::1 | - | 15:18:29
POST | 200 | /api/auth/admin | 725.758 ms | ::1 | - | 15:18:31
OPTIONS | 204 | /api/auth/admin | 0.549 ms | ::1 | - | 15:18:44
POST | 200 | /api/auth/admin | 965.323 ms | ::1 | - | 15:18:45
OPTIONS | 204 | /api/auth/admin | 0.971 ms | ::1 | - | 15:20:13
POST | 200 | /api/auth/admin | 974.665 ms | ::1 | - | 15:20:14
POST | 200 | /api/auth/admin | 942.816 ms | ::1 | - | 15:21:00
OPTIONS | 204 | /api/auth/admin | 0.495 ms | ::1 | - | 15:22:18
POST | 200 | /api/auth/admin | 1019.001 ms | ::1 | - | 15:22:19
OPTIONS | 204 | /api/auth/admin | 0.584 ms | ::1 | - | 15:23:49
POST | 403 | /api/auth/admin | 987.220 ms | ::1 | - | 15:23:50
OPTIONS | 204 | /api/auth/admin | 0.449 ms | ::1 | - | 15:24:03
POST | 403 | /api/auth/admin | 871.377 ms | ::1 | - | 15:24:04
OPTIONS | 204 | /api/auth/admin | 0.468 ms | ::1 | - | 15:24:40
POST | 403 | /api/auth/admin | 10447.121 ms | ::1 | - | 15:24:50
POST | 200 | /api/auth/admin | 962.914 ms | ::1 | - | 15:25:29
OPTIONS | 204 | /api/auth/admin | 0.484 ms | ::1 | - | 15:27:03
POST | 403 | /api/auth/admin | 907.017 ms | ::1 | - | 15:27:04
OPTIONS | 204 | /api/auth/admin | 0.335 ms | ::1 | - | 15:27:56
POST | 403 | /api/auth/admin | 1097.973 ms | ::1 | - | 15:27:57
OPTIONS | 204 | /api/auth/admin | 0.583 ms | ::1 | - | 15:29:01
POST | 403 | /api/auth/admin | 962.471 ms | ::1 | - | 15:29:02
POST | 200 | /api/auth/admin | 989.943 ms | ::1 | - | 15:29:22
OPTIONS | 204 | /api/auth/admin | 0.510 ms | ::1 | - | 15:30:14
POST | 403 | /api/auth/admin | 1049.972 ms | ::1 | - | 15:30:15
OPTIONS | 204 | /api/auth/admin | 2.286 ms | ::1 | - | 15:31:04
POST | 403 | /api/auth/admin | 1174.136 ms | ::1 | - | 15:31:05
OPTIONS | 204 | /api/auth/admin | 1.103 ms | ::1 | - | 15:31:36
POST | 403 | /api/auth/admin | 878.427 ms | ::1 | - | 15:31:41
OPTIONS | 204 | /api/auth/admin | 3.549 ms | ::1 | - | 15:33:41
POST | 403 | /api/auth/admin | 1208.106 ms | ::1 | - | 15:33:43
OPTIONS | 204 | /api/auth/admin | 1.201 ms | ::1 | - | 15:33:57
POST | 403 | /api/auth/admin | 948.532 ms | ::1 | - | 15:33:58
OPTIONS | 204 | /api/auth/admin | 4.340 ms | ::1 | - | 15:35:31
POST | 403 | /api/auth/admin | 1170.512 ms | ::1 | - | 15:35:32
OPTIONS | 204 | /api/auth/admin | 1.153 ms | ::1 | - | 15:36:12
POST | 200 | /api/auth/admin | 942.988 ms | ::1 | - | 15:36:13
OPTIONS | 204 | /api/auth/admin | 0.912 ms | ::1 | - | 15:37:24
POST | 403 | /api/auth/admin | 1011.085 ms | ::1 | - | 15:37:25
OPTIONS | 204 | /api/auth/admin | 0.865 ms | ::1 | - | 15:38:49
