GET | 200 | / | 21.054 ms | ::1 | - | 22:58:38
GET | 304 | /static/css/main.5da68ca8.css | 4.875 ms | ::1 | - | 22:58:38
GET | 200 | /static/js/main.106080de.js | 15.947 ms | ::1 | - | 22:58:38
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 9.589 ms | ::1 | - | 22:58:39
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 2.957 ms | ::1 | - | 22:58:39
GET | 200 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 45.515 ms | ::1 | - | 22:58:39
GET | 200 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 38.036 ms | ::1 | - | 22:58:39
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 9.137 ms | ::1 | - | 22:58:39
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 4.550 ms | ::1 | - | 22:58:39
GET | 304 | /manifest.json | 2.298 ms | ::1 | - | 22:58:39
GET | 304 | /logo192.png | 1.411 ms | ::1 | - | 22:58:39
GET | 301 | /warehouse | 7.592 ms | ::1 | - | 22:58:43
GET | 200 | /warehouse/ | 34.715 ms | ::1 | - | 22:58:43
GET | 304 | /static/css/main.5da68ca8.css | 2.553 ms | ::1 | - | 22:58:43
GET | 200 | /static/js/main.af3fca3d.js | 19.888 ms | ::1 | - | 22:58:43
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 2.284 ms | ::1 | - | 22:58:43
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 9.991 ms | ::1 | - | 22:58:43
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 8.748 ms | ::1 | - | 22:58:43
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 7.442 ms | ::1 | - | 22:58:43
GET | 304 | /manifest.json | 2.300 ms | ::1 | - | 22:58:43
GET | 304 | /logo192.png | 1.203 ms | ::1 | - | 22:58:43
GET | 200 | /static/media/workTime.45553d507cd2016734d857773c004d02.svg | 66.626 ms | ::1 | - | 22:58:43
POST | 200 | /api/auth/admin | 3632.078 ms | ::1 | - | 22:58:51
GET | 304 | /static/media/boxLogo.fea54e18e3aa37859814.png | 2.930 ms | ::1 | - | 22:58:51
GET | 304 | /api/warehouse/info | 1480.172 ms | ::1 | - | 22:58:52
GET | 200 | /static/media/borderMenu.c20de8f74d0f8492ddbad09b9653795c.svg | 6.558 ms | ::1 | - | 22:58:52
GET | 206 | /static/media/ding.251dfbf7c76c515a1a91.mp3 | 74.061 ms | ::1 | - | 22:58:52
GET | 200 | /static/media/pendiente.5f886c8a73cdcb9dc273.png | 16.078 ms | ::1 | - | 22:59:00
GET | 200 | /static/media/entregado.79d14bb881b39113d43b.png | 17.290 ms | ::1 | - | 22:59:00
GET | 200 | /static/media/enviado.e25c92f9c8cdb72f8443.png | 28.824 ms | ::1 | - | 22:59:00
GET | 304 | /favicon.ico | 1.221 ms | ::1 | - | 22:59:00
GET | 304 | /api/warehouse/info | 4524.039 ms | ::1 | - | 22:59:14
GET | 304 | /api/warehouse/info | 1120.499 ms | ::1 | - | 22:59:15
GET | 304 | /api/warehouse/info | 1927.935 ms | ::1 | - | 22:59:17
