OPTIONS | 204 | /api/warehouse/info | 4.454 ms | ::1 | - | 15:32:49
OPTIONS | 204 | /api/warehouse/info | 0.199 ms | ::1 | - | 15:32:49
GET | 403 | /api/warehouse/info | 15.990 ms | ::1 | - | 15:32:49
GET | 403 | /api/warehouse/info | 3.798 ms | ::1 | - | 15:32:49
OPTIONS | 204 | /api/auth/admin | 0.320 ms | ::1 | - | 15:33:04
POST | 200 | /api/auth/admin | 962.957 ms | ::1 | - | 15:33:05
OPTIONS | 204 | /api/warehouse/info | 1.959 ms | ::1 | - | 15:33:05
OPTIONS | 204 | /api/warehouse/info | 0.977 ms | ::1 | - | 15:33:05
GET | 200 | /api/warehouse/info | 734.864 ms | ::1 | - | 15:33:06
GET | 304 | /api/warehouse/info | 1263.434 ms | ::1 | - | 15:33:07
POST | 200 | /api/inventory/request/send | 3599.545 ms | ::1 | - | 15:38:01
POST | 200 | /api/inventory/request/send | 3481.885 ms | ::1 | - | 15:41:23
POST | 200 | /api/inventory/request/send | 3647.730 ms | ::1 | - | 15:42:38
OPTIONS | 204 | /api/warehouse/info | 0.899 ms | ::1 | - | 16:04:58
GET | 304 | /api/warehouse/info | 946.383 ms | ::1 | - | 16:04:59
GET | 304 | /api/warehouse/info | 746.672 ms | ::1 | - | 16:04:59
OPTIONS | 204 | /api/warehouse/request/update | 0.593 ms | ::1 | - | 16:10:33
POST | 200 | /api/warehouse/request/update | 110934.239 ms | ::1 | - | 16:12:24
OPTIONS | 204 | /api/warehouse/request/update | 1.545 ms | ::1 | - | 16:12:51
POST | 200 | /api/warehouse/request/update | 2677.913 ms | ::1 | - | 16:12:54
OPTIONS | 204 | /api/warehouse/request/update | 2.296 ms | ::1 | - | 16:14:45
POST | 200 | /api/warehouse/request/update | 1629.862 ms | ::1 | - | 16:14:47
OPTIONS | 204 | /api/warehouse/info | 3.478 ms | ::ffff:127.0.0.1 | - | 16:20:32
OPTIONS | 204 | /api/warehouse/info | 0.253 ms | ::1 | - | 16:20:32
GET | 304 | /api/warehouse/info | 894.698 ms | ::ffff:127.0.0.1 | - | 16:20:33
GET | 304 | /api/warehouse/info | 742.599 ms | ::ffff:127.0.0.1 | - | 16:20:34
OPTIONS | 204 | /api/warehouse/request/update | 0.662 ms | ::1 | - | 16:20:41
POST | 200 | /api/warehouse/request/update | 1654.556 ms | ::1 | - | 16:20:42
OPTIONS | 204 | /api/warehouse/request/update | 1.455 ms | ::1 | - | 16:21:37
POST | 403 | /api/warehouse/request/update | 2505.386 ms | ::1 | - | 16:21:39
OPTIONS | 204 | /api/warehouse/request/update | 1.192 ms | ::ffff:127.0.0.1 | - | 16:24:58
POST | 200 | /api/warehouse/request/update | 3324.963 ms | ::ffff:127.0.0.1 | - | 16:25:01
OPTIONS | 204 | /api/warehouse/request/update | 1.488 ms | ::1 | - | 16:26:09
POST | 403 | /api/warehouse/request/update | 2336.481 ms | ::1 | - | 16:26:12
OPTIONS | 204 | /api/warehouse/request/update | 1.313 ms | ::1 | - | 16:26:37
POST | 403 | /api/warehouse/request/update | 2392.505 ms | ::1 | - | 16:26:39
OPTIONS | 204 | /api/warehouse/request/update | 2.517 ms | ::1 | - | 16:27:51
POST | 403 | /api/warehouse/request/update | 2339.286 ms | ::1 | - | 16:27:53
OPTIONS | 204 | /api/warehouse/request/update | 2.590 ms | ::1 | - | 16:29:24
POST | 403 | /api/warehouse/request/update | 2357.769 ms | ::1 | - | 16:29:27
OPTIONS | 204 | /api/warehouse/request/update | 0.763 ms | ::1 | - | 16:33:15
POST | 403 | /api/warehouse/request/update | 2320.829 ms | ::1 | - | 16:33:17
OPTIONS | 204 | /api/warehouse/request/update | 2.283 ms | ::ffff:127.0.0.1 | - | 16:44:47
POST | 403 | /api/warehouse/request/update | 2394.053 ms | ::ffff:127.0.0.1 | - | 16:44:50
OPTIONS | 204 | /api/warehouse/request/update | 0.634 ms | ::1 | - | 16:45:16
POST | 403 | /api/warehouse/request/update | 2321.224 ms | ::1 | - | 16:45:20
OPTIONS | 204 | /api/warehouse/request/update | 1.650 ms | ::1 | - | 16:45:26
POST | 200 | /api/warehouse/request/update | 3046.133 ms | ::1 | - | 16:45:29
OPTIONS | 204 | /api/warehouse/request/update | 2.401 ms | ::1 | - | 16:49:24
POST | 200 | /api/warehouse/request/update | 2429.664 ms | ::1 | - | 16:49:26
OPTIONS | 204 | /api/warehouse/request/update | 0.418 ms | ::1 | - | 16:49:38
POST | 200 | /api/warehouse/request/update | 2379.738 ms | ::1 | - | 16:49:41
OPTIONS | 204 | /api/warehouse/request/update | 1.310 ms | ::1 | - | 17:33:45
POST | 200 | /api/warehouse/request/update | 2309.609 ms | ::1 | - | 17:33:47
OPTIONS | 204 | /api/warehouse/request/update | 0.870 ms | ::1 | - | 17:33:57
POST | 200 | /api/warehouse/request/update | 2313.355 ms | ::1 | - | 17:34:00
OPTIONS | 204 | /api/warehouse/request/update | 1.381 ms | ::1 | - | 17:39:28
POST | 200 | /api/warehouse/request/update | 2510.229 ms | ::1 | - | 17:39:31
OPTIONS | 204 | /api/warehouse/request/update | 0.305 ms | ::1 | - | 17:39:52
POST | 200 | /api/warehouse/request/update | 2413.932 ms | ::1 | - | 17:39:54
POST | 200 | /api/warehouse/request/update | 2253.743 ms | ::1 | - | 17:39:59
OPTIONS | 204 | /api/warehouse/info | 1.610 ms | ::1 | - | 17:42:28
OPTIONS | 204 | /api/warehouse/info | 0.273 ms | ::1 | - | 17:42:28
GET | 304 | /api/warehouse/info | 994.045 ms | ::1 | - | 17:42:29
GET | 304 | /api/warehouse/info | 719.072 ms | ::1 | - | 17:42:30
OPTIONS | 204 | /api/warehouse/request/update | 0.429 ms | ::1 | - | 17:51:24
POST | 200 | /api/warehouse/request/update | 2496.295 ms | ::1 | - | 17:51:27
OPTIONS | 204 | /api/warehouse/request/update | 0.635 ms | ::1 | - | 18:02:02
POST | 200 | /api/warehouse/request/update | 2449.450 ms | ::1 | - | 18:02:05
OPTIONS | 204 | /api/warehouse/request/update | 0.275 ms | ::1 | - | 18:07:29
POST | 200 | /api/warehouse/request/update | 2389.398 ms | ::1 | - | 18:07:32
OPTIONS | 204 | /api/warehouse/request/update | 0.345 ms | ::1 | - | 18:07:40
POST | 200 | /api/warehouse/request/update | 2293.963 ms | ::1 | - | 18:07:43
OPTIONS | 204 | /api/warehouse/info | 0.231 ms | ::1 | - | 18:08:00
GET | 304 | /api/warehouse/info | 932.590 ms | ::1 | - | 18:08:01
GET | 304 | /api/warehouse/info | 720.356 ms | ::1 | - | 18:08:02
OPTIONS | 204 | /api/warehouse/request/update | 0.372 ms | ::1 | - | 18:09:36
POST | 200 | /api/warehouse/request/update | 2361.869 ms | ::1 | - | 18:09:39
OPTIONS | 204 | /api/warehouse/info | 0.212 ms | ::1 | - | 18:12:40
GET | 304 | /api/warehouse/info | 1001.201 ms | ::1 | - | 18:12:41
GET | 304 | /api/warehouse/info | 715.447 ms | ::1 | - | 18:12:42
GET | 304 | /api/warehouse/info | 724.220 ms | ::1 | - | 18:12:43
GET | 304 | /api/warehouse/info | 714.603 ms | ::1 | - | 18:12:44
GET | 304 | /api/warehouse/info | 715.979 ms | ::1 | - | 18:12:44
OPTIONS | 204 | /api/warehouse/info | 0.937 ms | ::1 | - | 18:18:21
GET | 304 | /api/warehouse/info | 922.549 ms | ::1 | - | 18:18:22
OPTIONS | 204 | /api/warehouse/info | 1.040 ms | ::1 | - | 18:21:43
OPTIONS | 204 | /api/warehouse/info | 0.165 ms | ::1 | - | 18:21:43
GET | 304 | /api/warehouse/info | 904.934 ms | ::1 | - | 18:21:44
GET | 304 | /api/warehouse/info | 725.804 ms | ::1 | - | 18:21:45
OPTIONS | 204 | /api/warehouse/request/update | 0.878 ms | ::1 | - | 18:21:55
POST | 403 | /api/warehouse/request/update | 892.776 ms | ::1 | - | 18:21:56
OPTIONS | 204 | /api/warehouse/info | 0.196 ms | ::1 | - | 18:22:46
GET | 304 | /api/warehouse/info | 954.077 ms | ::1 | - | 18:22:47
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.237 ms | ::1 | - | 18:22:51
POST | 403 | /api/warehouse/request/update/deliveryTime | 717.515 ms | ::1 | - | 18:22:52
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.259 ms | ::1 | - | 18:23:26
POST | 403 | /api/warehouse/request/update/deliveryTime | 1036.665 ms | ::1 | - | 18:23:27
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.901 ms | ::1 | - | 18:24:13
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.907 ms | ::1 | - | 18:24:29
POST | 403 | /api/warehouse/request/update/deliveryTime | 736.053 ms | ::1 | - | 18:24:30
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 1.034 ms | ::1 | - | 18:26:26
POST | 403 | /api/warehouse/request/update/deliveryTime | 1740.948 ms | ::1 | - | 18:26:27
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.934 ms | ::1 | - | 18:27:10
POST | 403 | /api/warehouse/request/update/deliveryTime | 1594.912 ms | ::1 | - | 18:27:12
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.943 ms | ::1 | - | 18:27:44
POST | 403 | /api/warehouse/request/update/deliveryTime | 1542.052 ms | ::1 | - | 18:27:46
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 1.040 ms | ::1 | - | 18:28:27
POST | 403 | /api/warehouse/request/update/deliveryTime | 1654.588 ms | ::1 | - | 18:28:29
OPTIONS | 204 | /api/warehouse/info | 0.391 ms | ::1 | - | 18:32:23
OPTIONS | 204 | /api/warehouse/info | 0.339 ms | ::1 | - | 18:32:23
GET | 304 | /api/warehouse/info | 920.223 ms | ::1 | - | 18:32:24
GET | 304 | /api/warehouse/info | 1184.550 ms | ::1 | - | 18:32:25
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.284 ms | ::1 | - | 18:33:11
POST | 200 | /api/warehouse/request/update/deliveryTime | 2527.155 ms | ::1 | - | 18:33:14
OPTIONS | 204 | /api/warehouse/info | 0.249 ms | ::1 | - | 18:34:04
GET | 304 | /api/warehouse/info | 977.549 ms | ::1 | - | 18:34:05
GET | 304 | /api/warehouse/info | 722.726 ms | ::1 | - | 18:34:05
OPTIONS | 204 | /api/warehouse/request/update/deliveryTime | 0.341 ms | ::1 | - | 18:35:23
POST | 200 | /api/warehouse/request/update/deliveryTime | 2328.289 ms | ::1 | - | 18:35:25
