OPTIONS | 204 | /api/warehouse/info | 1.677 ms | ::ffff:127.0.0.1 | - | 0:58:26
OPTIONS | 204 | /api/warehouse/info | 0.471 ms | ::1 | - | 0:58:26
GET | 304 | /api/warehouse/info | 760.700 ms | ::ffff:127.0.0.1 | - | 0:58:27
GET | 304 | /api/warehouse/info | 716.259 ms | ::ffff:127.0.0.1 | - | 0:58:27
OPTIONS | 204 | /api/warehouse/info | 1.512 ms | ::ffff:127.0.0.1 | - | 1:12:09
OPTIONS | 204 | /api/warehouse/info | 0.191 ms | ::1 | - | 1:12:09
GET | 304 | /api/warehouse/info | 882.191 ms | ::ffff:127.0.0.1 | - | 1:12:09
GET | 304 | /api/warehouse/info | 722.402 ms | ::ffff:127.0.0.1 | - | 1:12:10
POST | 200 | /api/inventory/request/send | 3219.126 ms | ::1 | - | 1:12:55
POST | 200 | /api/inventory/request/send | 3410.375 ms | ::1 | - | 1:14:05
POST | 200 | /api/inventory/request/send | 4387.093 ms | ::1 | - | 1:15:57
POST | 200 | /api/inventory/request/send | 3160.733 ms | ::1 | - | 1:16:55
POST | 200 | /api/inventory/request/send | 4161.892 ms | ::1 | - | 1:17:48
POST | 200 | /api/inventory/request/send | 3261.180 ms | ::1 | - | 1:17:56
OPTIONS | 204 | /api/warehouse/info | 1.708 ms | ::1 | - | 1:29:42
OPTIONS | 204 | /api/warehouse/info | 0.213 ms | ::1 | - | 1:29:42
GET | 304 | /api/warehouse/info | 1106.351 ms | ::1 | - | 1:29:43
GET | 304 | /api/warehouse/info | 706.392 ms | ::1 | - | 1:29:44
OPTIONS | 204 | /api/warehouse/info | 0.301 ms | ::1 | - | 1:36:56
OPTIONS | 204 | /api/warehouse/info | 0.475 ms | ::1 | - | 1:36:56
GET | 304 | /api/warehouse/info | 709.986 ms | ::1 | - | 1:36:57
GET | 304 | /api/warehouse/info | 835.202 ms | ::1 | - | 1:36:58
OPTIONS | 204 | /api/warehouse/info | 0.295 ms | ::1 | - | 1:37:19
GET | 304 | /api/warehouse/info | 858.162 ms | ::1 | - | 1:37:20
GET | 304 | /api/warehouse/info | 718.421 ms | ::1 | - | 1:37:21
OPTIONS | 204 | /api/warehouse/info | 0.234 ms | ::1 | - | 1:37:28
GET | 304 | /api/warehouse/info | 877.310 ms | ::1 | - | 1:37:29
GET | 304 | /api/warehouse/info | 712.596 ms | ::1 | - | 1:37:29
OPTIONS | 204 | /api/warehouse/info | 0.246 ms | ::1 | - | 1:47:45
GET | 304 | /api/warehouse/info | 904.096 ms | ::1 | - | 1:47:46
GET | 304 | /api/warehouse/info | 713.447 ms | ::1 | - | 1:47:47
POST | 200 | /api/inventory/request/send | 3213.765 ms | ::1 | - | 1:48:53
POST | 200 | /api/inventory/request/send | 3196.720 ms | ::1 | - | 1:59:39
OPTIONS | 204 | /api/warehouse/info | 0.232 ms | ::1 | - | 2:00:03
OPTIONS | 204 | /api/warehouse/info | 0.144 ms | ::1 | - | 2:00:03
GET | 304 | /api/warehouse/info | 918.173 ms | ::1 | - | 2:00:04
GET | 304 | /api/warehouse/info | 722.102 ms | ::1 | - | 2:00:05
POST | 200 | /api/inventory/request/send | 3180.437 ms | ::1 | - | 2:00:34
OPTIONS | 204 | /api/warehouse/info | 0.289 ms | ::1 | - | 2:01:07
GET | 304 | /api/warehouse/info | 866.992 ms | ::1 | - | 2:01:08
GET | 304 | /api/warehouse/info | 708.389 ms | ::1 | - | 2:01:09
GET | 304 | /api/warehouse/info | 704.685 ms | ::1 | - | 2:01:09
OPTIONS | 204 | /api/warehouse/info | 0.190 ms | ::1 | - | 2:01:36
GET | 304 | /api/warehouse/info | 881.419 ms | ::1 | - | 2:01:37
OPTIONS | 204 | /api/warehouse/info | 0.205 ms | ::1 | - | 2:13:36
GET | 304 | /api/warehouse/info | 1039.690 ms | ::1 | - | 2:13:37
GET | 304 | /api/warehouse/info | 709.547 ms | ::1 | - | 2:13:38
OPTIONS | 204 | /api/auth/admin | 1.467 ms | ::1 | - | 2:43:05
POST | 200 | /api/auth/admin | 983.180 ms | ::1 | - | 2:43:06
OPTIONS | 204 | /api/warehouse/info | 1.629 ms | ::1 | - | 2:43:06
OPTIONS | 204 | /api/warehouse/info | 1.473 ms | ::1 | - | 2:43:06
GET | 304 | /api/warehouse/info | 718.448 ms | ::1 | - | 2:43:07
GET | 304 | /api/warehouse/info | 719.645 ms | ::1 | - | 2:43:07
OPTIONS | 204 | /api/warehouse/request/update | 0.980 ms | ::1 | - | 2:43:23
POST | 200 | /api/warehouse/request/update | 1582.364 ms | ::1 | - | 2:43:24
OPTIONS | 204 | /api/warehouse/request/update | 0.517 ms | ::1 | - | 2:43:34
POST | 200 | /api/warehouse/request/update | 1591.149 ms | ::1 | - | 2:43:36
OPTIONS | 204 | /api/warehouse/request/update | 0.441 ms | ::1 | - | 2:44:13
POST | 200 | /api/warehouse/request/update | 1573.941 ms | ::1 | - | 2:44:15
OPTIONS | 204 | /api/warehouse/info | 0.231 ms | ::1 | - | 2:44:31
GET | 304 | /api/warehouse/info | 773.104 ms | ::1 | - | 2:44:31
GET | 304 | /api/warehouse/info | 711.277 ms | ::1 | - | 2:44:32
OPTIONS | 204 | /api/warehouse/request/update | 0.458 ms | ::1 | - | 2:45:56
POST | 200 | /api/warehouse/request/update | 1605.224 ms | ::1 | - | 2:45:57
OPTIONS | 204 | /api/warehouse/info | 0.207 ms | ::1 | - | 2:46:22
GET | 304 | /api/warehouse/info | 927.919 ms | ::1 | - | 2:46:23
GET | 304 | /api/warehouse/info | 713.400 ms | ::1 | - | 2:46:24
OPTIONS | 204 | /api/warehouse/info | 0.970 ms | ::1 | - | 2:46:53
GET | 304 | /api/warehouse/info | 921.741 ms | ::1 | - | 2:46:54
GET | 304 | /api/warehouse/info | 705.218 ms | ::1 | - | 2:46:54
OPTIONS | 204 | /api/warehouse/request/update | 0.555 ms | ::1 | - | 2:46:57
POST | 200 | /api/warehouse/request/update | 1573.142 ms | ::1 | - | 2:46:59
OPTIONS | 204 | /api/warehouse/info | 0.321 ms | ::1 | - | 2:47:34
GET | 304 | /api/warehouse/info | 916.131 ms | ::1 | - | 2:47:34
GET | 304 | /api/warehouse/info | 711.057 ms | ::1 | - | 2:47:35
OPTIONS | 204 | /api/warehouse/request/update | 0.511 ms | ::1 | - | 2:49:17
POST | 200 | /api/warehouse/request/update | 1591.979 ms | ::1 | - | 2:49:19
OPTIONS | 204 | /api/warehouse/info | 0.273 ms | ::1 | - | 2:50:00
GET | 304 | /api/warehouse/info | 850.739 ms | ::1 | - | 2:50:01
GET | 304 | /api/warehouse/info | 718.158 ms | ::1 | - | 2:50:01
OPTIONS | 204 | /api/warehouse/info | 0.351 ms | ::1 | - | 2:50:30
GET | 304 | /api/warehouse/info | 868.667 ms | ::1 | - | 2:50:30
GET | 304 | /api/warehouse/info | 714.551 ms | ::1 | - | 2:50:31
OPTIONS | 204 | /api/warehouse/request/update | 0.260 ms | ::1 | - | 2:52:14
POST | 200 | /api/warehouse/request/update | 1582.511 ms | ::1 | - | 2:52:16
OPTIONS | 204 | /api/warehouse/info | 0.387 ms | ::1 | - | 2:54:01
GET | 304 | /api/warehouse/info | 872.516 ms | ::1 | - | 2:54:02
GET | 304 | /api/warehouse/info | 715.168 ms | ::1 | - | 2:54:03
OPTIONS | 204 | /api/warehouse/request/update | 0.496 ms | ::1 | - | 2:54:10
POST | 200 | /api/warehouse/request/update | 1589.081 ms | ::1 | - | 2:54:12
OPTIONS | 204 | /api/warehouse/request/update | 2.848 ms | ::1 | - | 3:15:05
POST | 200 | /api/warehouse/request/update | 1638.596 ms | ::1 | - | 3:15:06
OPTIONS | 204 | /api/warehouse/request/update | 3.281 ms | ::1 | - | 3:17:14
POST | 200 | /api/warehouse/request/update | 1537.556 ms | ::1 | - | 3:17:15
OPTIONS | 204 | /api/warehouse/request/update | 0.531 ms | ::1 | - | 3:17:34
POST | 200 | /api/warehouse/request/update | 1625.560 ms | ::1 | - | 3:17:36
OPTIONS | 204 | /api/warehouse/request/update | 2.474 ms | ::1 | - | 3:18:10
POST | 200 | /api/warehouse/request/update | 1602.220 ms | ::1 | - | 3:18:12
OPTIONS | 204 | /api/warehouse/request/update | 0.414 ms | ::1 | - | 3:19:39
POST | 200 | /api/warehouse/request/update | 1583.343 ms | ::1 | - | 3:19:41
OPTIONS | 204 | /api/warehouse/request/update | 2.074 ms | ::1 | - | 3:22:29
POST | 200 | /api/warehouse/request/update | 1678.101 ms | ::1 | - | 3:22:31
